station_name,date,time,year,month,day,hour,precip_amt,pressure,rel_hum,temp,temp_dew,wind_dir,wind_spd
NORMANDIN,2020-05-08,2020-05-08 20:00,2020,5,8,20:00,0,98.79,58,-0.5,-7.6,31,12
NORMANDIN,2020-05-08,2020-05-08 21:00,2020,5,8,21:00,0,98.79,65,-1.6,-7.2,30,9
NORMANDIN,2020-05-08,2020-05-08 22:00,2020,5,8,22:00,0,98.78,72,-3.3,-7.5,28,10
NORMANDIN,2020-05-08,2020-05-08 23:00,2020,5,8,23:00,0,98.73,81,-4.2,-6.9,25,9
NORMANDIN,2020-05-09,2020-05-09 0:00,2020,5,9,0:00,0,98.68,75,-4.2,-8.1,23,12
NORMANDIN,2020-05-09,2020-05-09 1:00,2020,5,9,1:00,0,98.6,79,-4.7,-7.8,26,11
NORMANDIN,2020-05-09,2020-05-09 2:00,2020,5,9,2:00,0,98.56,75,-5.1,-8.8,24,11
NORMANDIN,2020-05-09,2020-05-09 3:00,2020,5,9,3:00,0,98.52,77,-5.5,-8.8,26,8
NORMANDIN,2020-05-09,2020-05-09 4:00,2020,5,9,4:00,0,98.46,81,-5,-7.7,26,7
NORMANDIN,2020-05-09,2020-05-09 5:00,2020,5,9,5:00,0,98.42,81,-3.6,-6.4,28,6
NORMANDIN,2020-05-09,2020-05-09 6:00,2020,5,9,6:00,0,98.4,78,-1.7,-5,29,10
NORMANDIN,2020-05-09,2020-05-09 7:00,2020,5,9,7:00,0,98.37,72,-0.5,-4.9,30,16
NORMANDIN,2020-05-09,2020-05-09 8:00,2020,5,9,8:00,0,98.36,68,0.3,-4.9,30,14
NORMANDIN,2020-05-09,2020-05-09 9:00,2020,5,9,9:00,0,98.31,65,1,-4.8,31,15
NORMANDIN,2020-05-09,2020-05-09 10:00,2020,5,9,10:00,0,98.26,61,1.8,-4.9,30,20
NORMANDIN,2020-05-09,2020-05-09 11:00,2020,5,9,11:00,0,98.21,65,2.6,-3.4,30,17
NORMANDIN,2020-05-09,2020-05-09 12:00,2020,5,9,12:00,0,98.21,69,2.5,-2.6,29,16
NORMANDIN,2020-05-09,2020-05-09 13:00,2020,5,9,13:00,0,98.22,85,1.5,-0.7,32,14
NORMANDIN,2020-05-09,2020-05-09 14:00,2020,5,9,14:00,0.3,98.2,72,3.1,-1.4,32,29
NORMANDIN,2020-05-09,2020-05-09 15:00,2020,5,9,15:00,0,98.25,64,3,-3.1,31,38
NORMANDIN,2020-05-09,2020-05-09 16:00,2020,5,9,16:00,0,98.32,61,2.1,-4.5,30,36
NORMANDIN,2020-05-09,2020-05-09 17:00,2020,5,9,17:00,0,98.38,64,0.6,-5.4,30,36
NORMANDIN,2020-05-09,2020-05-09 18:00,2020,5,9,18:00,0,98.46,62,-0.4,-6.8,30,38
NORMANDIN,2020-05-09,2020-05-09 19:00,2020,5,9,19:00,0,98.54,65,-0.6,-6.5,31,23
NORMANDIN,2020-05-09,2020-05-09 20:00,2020,5,9,20:00,0,98.59,62,-0.7,-7.2,32,22
NORMANDIN,2020-05-09,2020-05-09 21:00,2020,5,9,21:00,0,98.63,67,-0.8,-6.2,31,21
NORMANDIN,2020-05-09,2020-05-09 22:00,2020,5,9,22:00,0,98.62,68,-1.1,-6.2,30,20
NORMANDIN,2020-05-09,2020-05-09 23:00,2020,5,9,23:00,0,98.61,67,-1.2,-6.5,29,23
NORMANDIN,2020-05-10,2020-05-10 0:00,2020,5,10,0:00,0,98.59,72,-1.5,-6,29,24
NORMANDIN,2020-05-10,2020-05-10 1:00,2020,5,10,1:00,0,98.57,72,-1.8,-6.1,29,21
NORMANDIN,2020-05-10,2020-05-10 2:00,2020,5,10,2:00,0,98.55,70,-1.7,-6.5,28,23
NORMANDIN,2020-05-10,2020-05-10 3:00,2020,5,10,3:00,0,98.52,71,-1.8,-6.3,28,19
NORMANDIN,2020-05-10,2020-05-10 4:00,2020,5,10,4:00,0,98.51,69,-1.5,-6.4,28,23
NORMANDIN,2020-05-10,2020-05-10 5:00,2020,5,10,5:00,0,98.5,69,-1.4,-6.4,27,16
NORMANDIN,2020-05-10,2020-05-10 6:00,2020,5,10,6:00,0,98.48,68,-0.8,-6,25,16
NORMANDIN,2020-05-10,2020-05-10 7:00,2020,5,10,7:00,0,98.43,66,0.4,-5.3,26,19
NORMANDIN,2020-05-10,2020-05-10 8:00,2020,5,10,8:00,0,98.38,67,1.4,-3.9,27,24
NORMANDIN,2020-05-10,2020-05-10 9:00,2020,5,10,9:00,0,98.36,72,1.8,-2.7,27,25
NORMANDIN,2020-05-10,2020-05-10 10:00,2020,5,10,10:00,0,98.32,64,3,-3.1,28,27
NORMANDIN,2020-05-10,2020-05-10 11:00,2020,5,10,11:00,0,98.3,58,4.3,-3.2,29,31
NORMANDIN,2020-05-10,2020-05-10 12:00,2020,5,10,12:00,0,98.3,63,4.9,-1.6,28,32
NORMANDIN,2020-05-10,2020-05-10 13:00,2020,5,10,13:00,0,98.3,59,5,-2.4,29,39
NORMANDIN,2020-05-10,2020-05-10 14:00,2020,5,10,14:00,0,98.3,63,5.5,-0.9,30,27
NORMANDIN,2020-05-10,2020-05-10 15:00,2020,5,10,15:00,0,98.33,65,5.2,-0.9,28,31
NORMANDIN,2020-05-10,2020-05-10 16:00,2020,5,10,16:00,0,98.42,81,2.6,-0.4,29,38
NORMANDIN,2020-05-10,2020-05-10 17:00,2020,5,10,17:00,0,98.5,71,2.9,-1.8,29,37
NORMANDIN,2020-05-10,2020-05-10 18:00,2020,5,10,18:00,0,98.54,81,2.1,-0.7,29,22
NORMANDIN,2020-05-10,2020-05-10 19:00,2020,5,10,19:00,0,98.6,69,1.9,-3.1,29,31
NORMANDIN,2020-05-10,2020-05-10 20:00,2020,5,10,20:00,0,98.65,83,0.7,-1.9,28,29
